MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
60,RL,4.189654742026425,9.042040056544483,Pave,Reg,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.2832037287379885,3,2,PConc,4,3,-1,6,6.561030665896573,1,0.0,5.017279836814924,6.75343791859778,GasA,4,Y,SBrkr,6.75343791859778,6.75110146893676,0.0,7.444833273892193,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.6931471805599453,3,2.1972245773362196,7,0.0,Attchd,2003.0,2,1.0986122886681098,6.3080984415095305,3,3,2,0.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,Feb,2008,WD,Normal
20,RL,4.394449154672439,9.169622538697624,Pave,Reg,Lvl,3,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,4,3,3,5,6.88653164253051,1,0.0,5.652489180268651,7.141245122350491,GasA,4,Y,SBrkr,7.141245122350491,0.0,0.0,7.141245122350491,0.0,0.6931471805599453,1.0986122886681098,0.0,1.3862943611198906,0.6931471805599453,2,1.9459101490553132,7,0.6931471805599453,Attchd,1976.0,2,1.0986122886681098,6.133398042996649,3,3,2,5.700443573390687,0.0,0.0,0.0,0.0,0.0,0.0,May,2007,WD,Normal
60,RL,4.23410650459726,9.328212292571072,Pave,IR1,Lvl,3,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.093750200806762,3,2,PConc,4,3,1,6,6.18826412308259,1,0.0,6.075346031088684,6.825460036255307,GasA,4,Y,SBrkr,6.825460036255307,6.7650389767805414,0.0,7.488293515159428,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.6931471805599453,3,1.9459101490553132,7,0.6931471805599453,Attchd,2001.0,2,1.0986122886681098,6.411818267709897,3,3,2,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,Sep,2008,WD,Normal
70,RL,4.110873864173311,9.164401140034737,Pave,IR1,Lvl,3,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,2,2,BrkTil,3,4,-1,5,5.37989735354046,1,0.0,6.293419278846481,6.6293632534374485,GasA,3,Y,SBrkr,6.8690144506657065,6.6293632534374485,0.0,7.4489161025442,0.6931471805599453,0.0,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453,3,2.0794415416798357,7,0.6931471805599453,Detchd,1998.0,1,1.3862943611198906,6.466144724237619,3,3,2,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,0.0,Feb,2006,WD,Abnorml
60,RL,4.442651256490317,9.565283817736766,Pave,IR1,Lvl,3,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.860786223465865,3,2,PConc,4,3,2,6,6.486160788944089,1,0.0,6.19644412779452,7.044032897274685,GasA,4,Y,SBrkr,7.044032897274685,6.960347729101308,0.0,7.695757990554761,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,1.6094379124341003,0.6931471805599453,3,2.302585092994046,7,0.6931471805599453,Attchd,2000.0,2,1.3862943611198906,6.729824070489475,3,3,2,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,0.0,Dec,2008,WD,Normal
50,RL,4.454347296253507,9.55506418479516,Pave,IR1,Lvl,3,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,Wood,4,3,-1,6,6.597145701886651,1,0.0,4.174387269895637,6.680854678790215,GasA,4,Y,SBrkr,6.680854678790215,6.340359303727752,0.0,7.217443431696533,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,2,1.791759469228055,7,0.0,Attchd,1993.0,1,1.0986122886681098,6.175867270105761,3,3,2,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,6.55250788703459,Oct,2009,WD,Normal
20,RL,4.330733340286331,9.218804450388312,Pave,Reg,Lvl,3,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,5.231108616854587,3,2,PConc,5,3,2,6,7.222566018822171,1,0.0,5.762051382780177,7.430707082545968,GasA,4,Y,SBrkr,7.43543801981455,0.0,0.0,7.43543801981455,0.6931471805599453,0.0,1.0986122886681098,0.0,1.3862943611198906,0.6931471805599453,3,2.0794415416798357,7,0.6931471805599453,Attchd,2004.0,2,1.0986122886681098,6.456769655572163,3,3,2,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,0.0,Aug,2007,WD,Normal
60,RL,4.4271244869561865,9.247925132303454,Pave,IR1,Lvl,3,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,5.484796933490655,2,2,CBlock,4,3,1,5,6.756932389247553,4,3.4965075614664802,5.37989735354046,7.010311867307229,GasA,4,Y,SBrkr,7.010311867307229,6.891625897052253,0.0,7.645397699428633,0.6931471805599453,0.0,1.0986122886681098,0.6931471805599453,1.3862943611198906,0.6931471805599453,2,2.0794415416798357,7,1.0986122886681098,Attchd,1973.0,2,1.0986122886681098,6.184148890937483,3,3,2,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,5.860786223465865,Nov,2009,WD,Normal
50,RM,3.9512437185814275,8.71948076085107,Pave,Reg,Lvl,3,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,2,2,BrkTil,3,3,-1,1,0.0,1,0.0,6.859614903654202,6.859614903654202,GasA,3,Y,FuseF,6.930494765951626,6.6240652277998935,0.0,7.4815557019095165,0.0,0.0,1.0986122886681098,0.0,1.0986122886681098,1.0986122886681098,2,2.1972245773362196,6,1.0986122886681098,Detchd,1931.0,1,1.0986122886681098,6.150602768446279,2,3,2,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,0.0,Apr,2008,WD,Abnorml
190,RL,3.9318256327243257,8.912069097970134,Pave,Reg,Lvl,3,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3,3,-1,6,6.747586526829315,1,0.0,4.948759890378168,6.899723107284872,GasA,4,Y,SBrkr,6.982862751468942,0.0,0.0,6.982862751468942,0.6931471805599453,0.0,0.6931471805599453,0.0,1.0986122886681098,1.0986122886681098,2,1.791759469228055,7,1.0986122886681098,Attchd,1939.0,2,0.6931471805599453,5.327876168789581,4,3,2,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,Jan,2008,WD,Normal
20,RL,4.2626798770413155,9.32375833901174,Pave,Reg,Lvl,3,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,-1,3,6.810142450115136,1,0.0,4.90527477843843,6.947937068614969,GasA,4,Y,SBrkr,6.947937068614969,0.0,0.0,6.947937068614969,0.6931471805599453,0.0,0.6931471805599453,0.0,1.3862943611198906,0.6931471805599453,2,1.791759469228055,7,0.0,Detchd,1965.0,1,0.6931471805599453,5.953243334287785,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Feb,2008,WD,Normal
60,RL,4.454347296253507,9.386392315756542,Pave,IR1,Lvl,3,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,5.659482215759621,4,2,PConc,5,3,-1,6,6.906754778648554,1,0.0,5.181783550292085,7.069874128458572,GasA,4,Y,SBrkr,7.075808863978387,7.04141166379481,0.0,7.751475318021456,0.6931471805599453,0.0,1.3862943611198906,0.0,1.6094379124341003,0.6931471805599453,4,2.4849066497880004,7,1.0986122886681098,BuiltIn,2005.0,3,1.3862943611198906,6.602587892189336,3,3,2,4.997212273764115,3.091042453358316,0.0,0.0,0.0,0.0,0.0,Jul,2006,New,Partial
